,"Nor","Ned","Swi","Ger","UK"
2013-09-30,808,179,111,56,0
2013-12-31,1178,948,102,148,0
2014-03-31,2056,207,133,239,0
2014-06-30,1080,356,120,207,192
2014-09-30,401,390,93,130,282
2014-12-31,505,515,147,239,244
2015-03-31,1532,407,198,294,205
2015-06-30,1142,478,440,402,144
2015-09-30,569,409,511,395,321
2015-12-31,796,580,407,491,800
2016-03-31,705,530,430,397,762
2016-06-30,543,353,365,381,501
2016-09-30,1252,629,488,637,634
2016-12-31,981,632,418,493,601
2017-03-31,1210,674,542,1023,1413
2017-06-30,1152,634,498,872,849
2017-09-30,2357,888,486,724,1263
2017-12-31,3743,1120,498,712,1231
2018-03-31,1699,1181,374,665,834
2018-06-30,2347,1627,413,586,921
2018-09-30,2275,2483,377,362,942
2018-12-31,2293,3294,298,287,675
2019-03-31,7024,2761,1597,3596,646
2019-06-30,5581,3496,1392,2613,972
2019-09-30,4084,7766,1260,2799,5972
2019-12-31,2112,16919,1812,1702,5677
